,Country,Code,Region,2015_ghg,2016_ghg,2017_ghg,2018_ghg,2019_ghg,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,Status,ave_GHG,ave_GDP
0,Argentina,ARG,SouthAmerica,322554.61,322554.61,322554.61,322554.61,322554.61,594749285413.212,557531376217.967,643628665302.155,524819742918.669,451932356085.842,Developing,322554.61,554532285187.5691
1,Australia,AUS,Oceania,544231.81,552354.83,559581.11,560827.41,555244.93,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,Developed,554448.018,1340916842998.246
2,Austria,AUT,WesternEurope,78884.46,79821.26,82132.49,78854.37,79994.14,381817565893.574,395568644341.038,416230497429.163,454945881027.378,445011872704.47,Developed,79937.34400000001,418714892279.12463
3,Belarus,BLR,EasternEurope,88307.46,87563.3,89247.6,92202.41,92291.63,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,Developing,89922.48000000001,56668979385.915504
4,Belgium,BEL,WesternEurope,118990.38,117419.57,116909.24,117584.92,116463.71,462149679343.822,475739588764.759,501522868356.441,543008499294.079,535288715239.999,Developed,117473.56399999998,503541870199.82
5,Brazil,BRA,SouthAmerica,1041676.99,1014702.38,1014702.38,1014702.38,1014702.38,1802211999538.68,1795693265810.23,2063514688761.98,1916933708381.89,1877824273720.78,Developing,1020097.3019999999,1891235587242.7122
6,Bulgaria,BGR,EasternEurope,60421.4,57773.56,59715.84,55361.84,53942.12,50781996712.7635,53953897624.4344,59199447421.4924,66363422450.2112,68915416141.9576,Developed,57442.952000000005,59842836070.171814
7,Canada,CAN,NorthernAmerica,722918.27,704927.87,712233.8,724615.78,723679.29,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,Developing,717675.0020000001,1640222688126.798
8,Chile,CHL,SouthAmerica,103039.023,107545.474,108024.605,109460.806,111026.595,243919079437.422,250440149690.846,277034675515.684,297571693064.193,279385487344.492,Developing,107819.3006,269670217010.5274
9,China (People's Republic of),CHN,EasternAsia,12300200.0,12300200.0,12300200.0,12300200.0,12300200.0,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937467431.0,Developing,12300200.0,12555998800864.34
