Country,Code,Region,1990_ghg,1991_ghg,1992_ghg,1993_ghg,1994_ghg,1995_ghg,1996_ghg,1997_ghg,1998_ghg,1999_ghg,2000_ghg,2001_ghg,2002_ghg,2003_ghg,2004_ghg,2005_ghg,2006_ghg,2007_ghg,2008_ghg,2009_ghg,2010_ghg,2011_ghg,2012_ghg,2013_ghg,2014_ghg,2015_ghg,2016_ghg,2017_ghg,2018_ghg,2019_ghg,2020_ghg,1990_gdp,1991_gdp,1992_gdp,1993_gdp,1994_gdp,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,2020_gdp,Status
Argentina,ARG,SouthAmerica,220240.77,230413.76,234122.38,239560.14,243598.69,244499.37,256463.93,258303.62,262725.06,264637.84,280308.99,276902.6,269315.64,286381.63,298167.36,307492.67,321462.03,335854.13,331802.17,322554.23,300695.19,310314.53,310670.24,321011.89,322554.61,322554.61,322554.61,322554.61,322554.61,322554.61,322554.61,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,451932356085.842,389288056265.325,Developing
Australia,AUS,Oceania,438056.76,438049.29,441752.18,442282.48,442610.56,451076.46,457574.99,469835.69,484037.12,489971.16,501588.99,509456.08,513171.01,511714.21,528827.43,535589.76,540017.78,546739.52,549128.82,552127.35,547172.76,549007.35,552305.55,543798.68,535451.44,544231.81,552354.83,559581.11,560827.41,555244.93,536739.72,311326664101.578,325902990346.127,325480273782.973,312126194491.287,322807333102.733,367915800415.8,401089529590.288,435323994365.315,399404463135.047,389098884572.001,415576210513.094,379083932596.329,395342716617.832,467390797903.32,614166310997.297,695075176665.163,747556154537.287,853955405511.502,1055127126230.98,928042998085.702,1147589183475.73,1397907916789.9,1546508558465.66,1576335282651.07,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51,Developed
Austria,AUT,WesternEurope,79047.23,82711.16,76142.81,76517.86,76725.97,79953.24,83112.93,82719.63,82012.9,80455.15,80619.36,84514.05,86267.54,91636.3,91427.9,92588.58,90158.67,87377.95,86770.82,80137.03,84693.29,82505.76,79788.32,80228.52,76662.66,78884.46,79821.26,82132.49,78854.37,79994.14,73910.84,166463386179.354,173794177961.108,195078126721.763,190379720809.18,203535242741.838,241038283062.645,237250948791.266,212790348404.555,218259904401.956,217185787342.851,196799778883.361,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.353,430294287388.311,400172297860.517,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381817565893.574,395568644341.038,416230497429.163,454945881027.378,445011872704.47,433258467676.515,Developed
Belarus,BLR,EasternEurope,145339.89,139713.44,126031.22,112296.43,96343.45,87955.99,88760.16,89022.1,87757.93,84261.45,81145.92,79825.86,79125.28,80871.08,84545.8,86538.4,89856.62,88250.97,91672.82,89716.11,91884.27,91314.47,92432.61,94456.41,93371.44,88307.46,87563.3,89247.6,92202.41,92291.63,89940.28,21650000000.0,20685750000.0,19721500000.0,18757250000.0,17793000000.0,13489222222.2222,14756846153.8462,14108846153.8462,15264369565.2174,12152867469.8795,12738912133.8912,12354820143.8849,14594249022.8922,17827791321.3067,23144351851.8519,30207567316.6202,36954312354.3124,45277399813.6067,60763483146.0674,50874078052.2735,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,60258239055.5829,Developing
Belgium,BEL,WesternEurope,145844.47,148579.58,148077.75,146896.93,151445.45,153579.82,157227.95,148820.67,154012.89,147732.82,148877.33,147319.08,147415.07,147731.49,148523.92,145418.35,142715.6,139090.79,139030.91,126438.52,133644.3,123192.99,120443.61,120523.72,114878.85,118990.38,117419.57,116909.24,117584.92,116463.71,107272.65,205331747947.851,210510999409.333,234781652446.675,224721795708.955,244884129491.198,288025588396.278,279201433224.756,252708051420.839,258528339631.029,258158533986.789,236204532891.1,236541297539.15,257157820440.429,317381715575.621,368537000248.324,385570948886.954,407918078032.869,470324254037.777,515223524241.98,481345929424.84,480951629493.033,522645519183.591,496181260258.3,521642714407.843,534678075827.361,462149679343.822,475739588764.759,501522868356.441,543008499294.079,535288715239.999,521861292586.616,Developed
Brazil,BRA,SouthAmerica,552640.82,574601.49,583848.35,596099.4,613905.5,638769.9,643708.82,668029.6,685872.35,702927.57,725162.14,744084.15,760963.1,778785.71,815887.21,830176.87,837355.38,843618.61,872592.78,858585.47,921055.1,954163.29,985944.61,1030985.67,1062897.04,1041676.99,1014702.38,1014702.38,1014702.38,1014702.38,1014702.38,390725626002.866,342609227209.645,328187944300.908,368295777770.079,525369851353.742,769333330368.987,850426433004.077,883206452795.124,863711007325.493,599642075004.471,655448188259.351,559983704094.17,509795270685.19,558233724164.711,669289321944.516,891633826603.377,1107626711406.63,1397114247331.17,1695855391810.9,1666996294372.87,2208838108577.09,2616156606666.62,2465228293894.01,2472819362216.69,2456043766028.73,1802211999538.68,1795693265810.23,2063514688761.98,1916933708381.89,1877824273720.78,1444733258971.65,Developing
Bulgaria,BGR,EasternEurope,98910.34,80843.22,75325.92,74663.95,70605.27,72168.36,72615.15,69401.56,65356.79,58274.21,57387.46,60267.18,57719.88,62658.87,61760.58,62364.32,63088.4,67006.24,65624.98,56758.6,59383.17,64728.48,59675.72,54453.7,57529.02,60421.4,57773.56,59715.84,55361.84,53942.12,47984.62,20632090909.0909,10943548387.0968,10350515463.9175,10829710144.9275,9697416974.16974,18983303571.4286,12294221472.7375,11315986087.1633,15030695296.5235,13627323284.5405,13245833843.5454,14183497963.1071,16402846413.0958,21144983551.6823,26157894736.8421,29869283400.0381,34379808888.6039,44405101469.5591,54438966419.8639,52023504656.2878,50682061053.2016,57678241023.818,54300857424.4415,55810138436.4821,57082011260.3446,50781996712.7635,53953897624.4344,59199447421.4924,66363422450.2112,68915416141.9576,69889347433.4324,Developed
Canada,CAN,NorthernAmerica,588602.82,582031.22,599242.66,601743.65,621934.13,639070.29,660767.8,676394.22,682434.83,694516.94,719463.71,710171.84,715489.77,734140.55,736725.46,732220.09,725289.22,748070.09,730801.24,689549.32,701867.55,711312.82,716370.5,723096.3,720195.46,722918.27,704927.87,712233.8,724615.78,723679.29,658788.39,593929550908.468,610328183643.188,592387689252.916,577170761956.438,578139279437.61,604031623433.401,628546387972.131,654986999855.554,634000000000.0,678412196271.118,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36,Developing
Chile,CHL,SouthAmerica,48818.658,47107.515,49071.29,51773.056,54516.641,57660.904,63314.629,69817.157,70882.57,73877.953,71498.722,69957.328,71151.195,72184.527,77731.876,78763.596,80679.04,89995.746,90161.331,86931.962,86969.651,95615.734,101067.244,100438.191,96796.595,103039.023,107545.474,108024.605,109460.806,111026.595,105551.915,33113887817.9731,37834793730.3133,45964327558.8836,49297773130.1185,57008425295.8256,73447063319.3034,78039572221.6024,84952360922.4958,81577430181.4602,75173794497.0494,77860932151.9302,70979923960.3422,69736811435.1319,75643459839.5605,99210392857.6283,122964812046.139,154788024805.865,173605968179.267,179638496278.497,172389498444.68,218537551220.123,252251992029.518,267122320056.772,278384332694.3,260541637327.855,243919079437.422,250440149690.846,277034675515.684,297571693064.193,279385487344.492,252940023046.007,Developing
China (People's Republic of),CHN,EasternAsia,4057617.0,4057617.0,4057617.0,4057617.0,4057617.0,4417379.090909091,4777141.181818182,5136903.2727272725,5496665.363636363,5856427.454545454,6216189.545454545,6575951.636363637,6935713.727272727,7295475.818181818,7655237.909090908,8015000.0,8520666.2,9026332.4,9531998.6,10037664.8,10543331.0,11219548.0,11895765.0,12097982.5,12300200.0,12300200.0,12300200.0,12300200.0,12300200.0,12300200.0,12300200.0,360857912565.966,383373318083.624,426915712715.856,444731282435.515,564324670008.238,734547898224.101,863746717507.397,961603952954.233,1029043097558.91,1093997267277.1,1211346869600.41,1339395718862.89,1470550015077.93,1660287965663.89,1955347004965.69,2285965892364.2,2752131773358.92,3550342737009.53,4594307032667.98,5101703073088.97,6087163874510.73,7551500124197.17,8532229986993.65,9570406235659.64,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937467431.0,14722730697890.1,Developing
