,Status,Year,Category,Value
0,Developed,1990,ghg,428516.32354838715
1,Developing,1990,ghg,555733.798
2,Developed,1991,ghg,422988.40354838717
3,Developing,1991,ghg,550720.0475
4,Developed,1992,ghg,422372.03225806454
5,Developing,1992,ghg,532177.4576923077
6,Developed,1993,ghg,423260.72032258066
7,Developing,1993,ghg,524637.2336923077
8,Developed,1994,ghg,427546.7461290322
9,Developing,1994,ghg,513210.30311538465
10,Developed,1995,ghg,432416.45096774196
11,Developing,1995,ghg,530396.614932401
12,Developed,1996,ghg,442421.74161290325
13,Developing,1996,ghg,550259.8425955711
14,Developed,1997,ghg,441480.60612903227
15,Developing,1997,ghg,568210.656729895
16,Developed,1998,ghg,440055.38483870967
17,Developing,1998,ghg,585082.6256719114
18,Developed,1999,ghg,439381.54516129027
19,Developing,1999,ghg,604201.0649985431
20,Developed,2000,ghg,446591.3838709677
21,Developing,2000,ghg,627971.8399405594
22,Developed,2001,ghg,443735.92645161285
23,Developing,2001,ghg,646186.0638088578
24,Developed,2002,ghg,444823.80129032256
25,Developing,2002,ghg,665320.0757925407
26,Developed,2003,ghg,449253.01935483876
27,Developing,2003,ghg,689277.3264300699
28,Developed,2004,ghg,453240.07129032264
29,Developing,2004,ghg,711875.8106188811
30,Developed,2005,ghg,453240.5896774194
31,Developing,2005,ghg,732418.7396538461
32,Developed,2006,ghg,450209.5583870968
33,Developing,2006,ghg,761989.1595769231
34,Developed,2007,ghg,453487.0
35,Developing,2007,ghg,790061.4557692308
36,Developed,2008,ghg,441104.8032258064
37,Developing,2008,ghg,816322.1346153846
38,Developed,2009,ghg,413169.4077419355
39,Developing,2009,ghg,827237.7376153846
40,Developed,2010,ghg,424850.9248387097
41,Developing,2010,ghg,862640.1816538462
42,Developed,2011,ghg,417611.19870967744
43,Developing,2011,ghg,901759.6946282052
44,Developed,2012,ghg,409930.54354838707
45,Developing,2012,ghg,936688.929448718
46,Developed,2013,ghg,412569.8774193548
47,Developing,2013,ghg,951061.3548076922
48,Developed,2014,ghg,407917.4280645161
49,Developing,2014,ghg,965024.0025897436
50,Developed,2015,ghg,402848.0116129032
51,Developing,2015,ghg,969970.4065641026
52,Developed,2016,ghg,396488.9951612904
53,Developing,2016,ghg,975685.9059615384
54,Developed,2017,ghg,395921.0606451613
55,Developing,2017,ghg,978742.9255769232
56,Developed,2018,ghg,398398.1258064516
57,Developing,2018,ghg,983404.6432692308
58,Developed,2019,ghg,387827.765483871
59,Developing,2019,ghg,978099.7763076923
60,Developed,2020,ghg,357021.6819354839
61,Developing,2020,ghg,967636.2953461539
62,Developed,1990,gdp,514140943372.81995
63,Developing,1990,gdp,205509543525.3442
64,Developed,1991,gdp,544933075564.50024
65,Developing,1991,gdp,209451940414.2355
66,Developed,1992,gdp,586201291637.9034
67,Developing,1992,gdp,218815487983.78284
68,Developed,1993,gdp,592888518275.5199
69,Developing,1993,gdp,223586975349.49924
70,Developed,1994,gdp,638444735964.0038
71,Developing,1994,gdp,242867310123.1081
72,Developed,1995,gdp,706297278412.1506
73,Developing,1995,gdp,274033177423.78577
74,Developed,1996,gdp,707862654574.7001
75,Developing,1996,gdp,292155222276.8688
76,Developed,1997,gdp,696795858893.3463
77,Developing,1997,gdp,297406388618.8819
78,Developed,1998,gdp,707073875633.1869
79,Developing,1998,gdp,286306281774.1732
80,Developed,1999,gdp,742492350440.6138
81,Developing,1999,gdp,285159972385.4443
82,Developed,2000,gdp,756370645173.3866
83,Developing,2000,gdp,302497606843.9101
84,Developed,2001,gdp,749763485521.9688
85,Developing,2001,gdp,304038159768.3547
86,Developed,2002,gdp,778552357217.1399
87,Developing,2002,gdp,316280736330.2225
88,Developed,2003,gdp,867190051428.7869
89,Developing,2003,gdp,366486470518.3228
90,Developed,2004,gdp,960182112532.6602
91,Developing,2004,gdp,430857454135.04944
92,Developed,2005,gdp,1006875995406.381
93,Developing,2005,gdp,497427680006.239
94,Developed,2006,gdp,1054132616368.6354
95,Developing,2006,gdp,572355456316.8947
96,Developed,2007,gdp,1145271557008.1443
97,Developing,2007,gdp,688653169215.6932
98,Developed,2008,gdp,1214715276066.3496
99,Developing,2008,gdp,788890671326.7288
100,Developed,2009,gdp,1148128765198.324
101,Developing,2009,gdp,753798787297.689
102,Developed,2010,gdp,1190953701531.3267
103,Developing,2010,gdp,891876165884.6199
104,Developed,2011,gdp,1275861007267.0159
105,Developing,2011,gdp,1045078972459.5106
106,Developed,2012,gdp,1276043061013.1917
107,Developing,2012,gdp,1086941643023.685
108,Developed,2013,gdp,1282872499990.0928
109,Developing,2013,gdp,1145259114198.5564
110,Developed,2014,gdp,1312150032009.8315
111,Developing,2014,gdp,1176786622919.5886
112,Developed,2015,gdp,1255805978709.2344
113,Developing,2015,gdp,1097839670963.3657
114,Developed,2016,gdp,1287375599664.7864
115,Developing,2016,gdp,1106522600739.5874
116,Developed,2017,gdp,1338679546617.3167
117,Developing,2017,gdp,1218886144583.0146
118,Developed,2018,gdp,1421066147165.3953
119,Developing,2018,gdp,1294212153946.2869
120,Developed,2019,gdp,1441383215311.8315
121,Developing,2019,gdp,1310921797880.4868
122,Developed,2020,gdp,1407026812399.2722
123,Developing,2020,gdp,1260905137271.938
